transaction_id,user_id,bank_timestamp,local_timestamp,location,ip_address,device_id,network_type,type,amount,account_id,balance_before,granted,balance_after,merchant_name,recipient_id,recipient_bank,behavior_type,fraud_label
TXN-6c51ca9e08,USER-fff05b03,2025-03-14T13:57:48+00:00,2025-03-14T10:57:48-03:00,"São Paulo, Brazil",200.98.182.107,iPhone-14,Public Wi-Fi (Secured),Transfer Out,30370.27,ACC-be41efed,643226.54,True,612856.27,,ACC-98765432,UBS,Money Laundering,1
TXN-638164f6f4,USER-fff05b03,2025-03-14T14:30:00+00:00,2025-03-14T11:30:00-03:00,"Zurich, Switzerland",81.123.45.67,Samsung Galaxy S22,Secure VPN Connection,Transfer Out,25000.0,ACC-be41efed,612856.27,True,587856.27,,ACC-12345678,Credit Suisse,Money Laundering,1
TXN-6898f17e6e,USER-fff05b03,2025-03-14T15:15:00+00:00,2025-03-14T12:15:00-03:00,"Montevideo, Uruguay",200.123.45.67,Lenovo ThinkPad,Cellular,Transfer Out,45000.0,ACC-be41efed,587856.27,True,542856.27,,ACC-12345678,HSBC,Money Laundering,1
TXN-72abec2dc4,USER-fff05b03,2025-03-14T16:00:00+00:00,2025-03-14T13:00:00-03:00,"London, UK",81.123.45.67,Samsung Galaxy S22,Secure VPN Connection,Transfer Out,25000.0,ACC-be41efed,542856.27,True,517856.27,,ACC-12345678,Credit Suisse,Money Laundering,1
TXN-0c4f1e6526,USER-fff05b03,2025-03-14T17:00:00+00:00,2025-03-14T14:00:00-03:00,"Buenos Aires, Argentina",200.123.45.68,iPhone-14,Public Wi-Fi (Secured),Transfer Out,35000.0,ACC-be41efed,517856.27,True,482856.27,,ACC-12345678,HSBC,Money Laundering,1
TXN-bf3f9fa49e,USER-fff05b03,2025-03-14T18:30:00+00:00,2025-03-14T15:30:00-03:00,"Madrid, Spain",81.123.45.68,Samsung Galaxy S22,Secure VPN Connection,Transfer Out,20000.0,ACC-be41efed,482856.27,True,462856.27,,ACC-12345678,Credit Suisse,Money Laundering,1
TXN-3871551c6b,USER-b33a1219,2025-03-14T14:01:48+00:00,2025-03-14T23:01:48+09:00,"Seoul, South Korea",121.254.129.162,MacBook Pro,Cellular,Withdrawal,310.24,ACC-efaf211e,2239.17,True,1928.93,,,,Account Takeover,1
TXN-7b1ee7be4d,USER-b33a1219,2025-03-14T15:30:00+00:00,2025-03-15T00:30:00+09:00,"Tokyo, Japan",203.123.45.67,iPhone-13,Wi-Fi,Transfer Out,250.0,ACC-efaf211e,1928.93,True,1678.93,,ACC-774683nf,Bank of America,Account Takeover,1
TXN-e07bac9cc0,USER-b33a1219,2025-03-14T16:00:00+00:00,2025-03-15T01:00:00+09:00,"Osaka, Japan",203.123.45.68,iPhone-13,Wi-Fi,Purchase,150.0,ACC-efaf211e,1678.93,True,1528.93,Amazon,,,Account Takeover,1
TXN-76dc3b6c55,USER-b33a1219,2025-03-14T17:00:00+00:00,2025-03-15T02:00:00+09:00,"Beijing, China",202.123.45.67,iPhone-13,Wi-Fi,Transfer Out,200.0,ACC-efaf211e,1528.93,True,1328.93,,ACC-836gfu98,Wells Fargo,Account Takeover,1
