transaction_id,user_id,bank_timestamp,local_timestamp,location,ip_address,device_id,network_type,type,amount,account_id,balance_before,granted,balance_after,merchant_name,recipient_id,recipient_bank,behavior_type,fraud_label
TXN-99ceb2ac5b,USER-9d2785aa,2025-03-11T21:21:46+01:00,2025-03-11T20:21:46+00:00,"Madrid, Spain",213.97.116.37,MacBook Pro,Cellular,Purchase,16780.87,ACC-f1e8f193,3967.0,False,3967.0,,,,Money Laundering,1
TXN-f8eef56066,USER-9d2785aa,2025-03-11T21:21:54+01:00,2025-03-11T20:21:54+00:00,"Madrid, Spain",213.97.116.37,MacBook Pro,VPN Connection,Transfer Out,15000.0,ACC-f1e8f193,3967.0,False,3967.0,,ACC-12345678,HSBC,Money Laundering,1
TXN-e347fae712,USER-6c7dec79,2025-03-11T17:21:54-03:00,2025-03-11T20:21:54+00:00,"São Paulo, Brazil",200.98.174.10,iPhone-13,Cellular,Transfer Out,324.74,ACC-60805912,9841.0,True,9516.26,,,,Synthetic Identity Fraud,1
TXN-ddb6fa8591,USER-bf64c252,2025-03-11T13:21:54-07:00,2025-03-11T20:21:54+00:00,"Los Angeles, USA",172.58.57.45,iPhone-13,VPN Connection,Transfer Out,43902.57,ACC-f3797051,5405.0,False,5405.0,,,,Insider Trading,1
TXN-39bd062391,USER-bf64c252,2025-03-11T13:22:00-07:00,2025-03-11T20:22:00+00:00,"Los Angeles, USA",73.56.201.89,iPhone-13,VPN Connection,Unauthorized Stock Purchase,15000.0,ACC-f3797051,5405.0,True,5405.0,Goldman Sachs,,,Insider Trading,1
TXN-0c4d1ff2ac,USER-bf64c252,2025-03-11T13:22:08-07:00,2025-03-11T20:22:08+00:00,"Los Angeles, USA",73.56.201.89,iPhone-13,VPN Connection,Unauthorized Stock Sale,10000.0,ACC-f3797051,5405.0,True,5405.0,JP Morgan,,,Insider Trading,1
TXN-f44a315160,USER-bf64c252,2025-03-11T13:22:23-07:00,2025-03-11T20:22:23+00:00,"Los Angeles, USA",73.56.201.89,iPhone-13,VPN Connection,Unauthorized Stock Purchase,7500.0,ACC-f3797051,5405.0,True,5405.0,Goldman Sachs,,,Insider Trading,1
TXN-09170544b0,USER-bf64c252,2025-03-11T13:22:29-07:00,2025-03-11T20:22:29+00:00,"Los Angeles, USA",73.56.201.89,iPhone-13,VPN Connection,Unauthorized Stock Sale,7500.0,ACC-f3797051,5405.0,True,5405.0,Goldman Sachs,,,Insider Trading,1
TXN-60acac146c,USER-eb84cb4f,2025-03-12T05:22:29+09:00,2025-03-11T20:22:29+00:00,"Seoul, South Korea",121.254.69.96,MacBook Pro,Cellular,Withdrawal,125.55,ACC-809a2b93,5471.0,True,5345.45,,,,Synthetic Identity Fraud,1
TXN-1cb8f728ff,USER-be23a690,2025-03-11T13:22:29-07:00,2025-03-11T20:22:29+00:00,"Los Angeles, USA",172.58.148.206,MacBook Pro,Wi-Fi,Transfer Out,218.06,ACC-3cf4f83a,2140.0,True,1921.94,,,,Everyday Spender,0
TXN-d031612f0d,USER-be23a690,2025-03-11T15:22:29-05:00,2025-03-11T20:22:29+00:00,"Chicago, USA",98.23.140.17,iPhone-13,Cellular,Purchase,426.17,ACC-3cf4f83a,1921.94,True,1495.77,,,,Everyday Spender,0
TXN-081635719d,USER-be23a690,2025-03-11T13:22:29-07:00,2025-03-11T20:22:29+00:00,"Los Angeles, USA",172.58.135.181,iPhone-13,Wi-Fi,Purchase,219.1,ACC-3cf4f83a,1495.77,True,1276.67,,,,Everyday Spender,0
TXN-cb507f8d97,USER-be23a690,2025-03-11T15:22:29-05:00,2025-03-11T20:22:29+00:00,"Chicago, USA",98.23.25.50,iPhone-13,Wi-Fi,Purchase,123.61,ACC-3cf4f83a,1276.67,True,1153.0600000000002,,,,Everyday Spender,0
TXN-ec163ce1bb,USER-be23a690,2025-03-11T15:22:29-05:00,2025-03-11T20:22:29+00:00,"Chicago, USA",98.23.167.58,MacBook Pro,Cellular,Transfer Out,247.48,ACC-3cf4f83a,1153.0600000000002,True,905.5800000000002,,,,Everyday Spender,0
TXN-2cbf8e9f87,USER-e86f8725,2025-03-11T21:22:29+01:00,2025-03-11T20:22:29+00:00,"Paris, France",51.75.55.175,MacBook Pro,Cellular,Purchase,2256.49,ACC-2518c88b,7300.0,True,5043.51,,,,Business Owner,0
TXN-34d2826f27,USER-1207b81b,2025-03-11T16:22:29-04:00,2025-03-11T20:22:29+00:00,"New York, USA",73.56.227.68,iPhone-13,Cellular,Withdrawal,467.29,ACC-3cbadc82,3634.0,True,3166.71,,,,Everyday Spender,0
TXN-a2ddb4db20,USER-1207b81b,2025-03-11T15:22:29-05:00,2025-03-11T20:22:29+00:00,"Chicago, USA",98.23.51.88,MacBook Pro,Wi-Fi,Transfer Out,303.61,ACC-3cbadc82,3166.71,True,2863.1,,,,Everyday Spender,0
