timestamp,user_id,reward,reason
2025-03-03T19:32:56.320639,USER-64ab12f7,-1,['Error: JSON not enclosed in expected delimiters.']
2025-03-03T19:33:14.564423,USER-64ab12f7,-1,['Error: Missing fields: recipient_id, recipient_bank']
2025-03-03T19:33:32.828328,USER-64ab12f7,-1,['Error: JSON not enclosed in expected delimiters.']
2025-03-03T19:33:50.673211,USER-64ab12f7,-1,['Error: Missing fields: recipient_id, recipient_bank']
2025-03-03T19:34:08.122774,USER-64ab12f7,-1,['Error: JSON not enclosed in expected delimiters.']
2025-03-03T19:34:26.420526,USER-64ab12f7,-1,['Error: Missing fields: recipient_id, recipient_bank']
2025-03-03T19:34:45.091384,USER-64ab12f7,-1,['Error: Missing fields: recipient_id, recipient_bank']
2025-03-03T19:35:03.187410,USER-64ab12f7,-1,['Error: Missing fields: recipient_id, recipient_bank']
2025-03-03T19:35:21.183275,USER-64ab12f7,-1,['Error: JSON not enclosed in expected delimiters.']
2025-03-03T19:35:39.710741,USER-64ab12f7,-1,['Error: JSON not enclosed in expected delimiters.']
2025-03-03T19:36:03.184397,USER-64ab12f7,-1,['JSON Decode Error: Expecting value: line 1 column 1 (char 0)']
2025-03-03T19:36:21.014554,USER-64ab12f7,-1,['Error: Missing fields: recipient_id, recipient_bank']
2025-03-03T19:36:38.672180,USER-64ab12f7,-1,['Error: Missing fields: recipient_id, recipient_bank']
2025-03-03T19:36:56.343700,USER-64ab12f7,-1,['Error: Missing fields: recipient_id, recipient_bank']
2025-03-03T19:37:14.294652,USER-64ab12f7,-1,['Error: JSON not enclosed in expected delimiters.']
2025-03-03T19:37:32.160823,USER-64ab12f7,-1,['Error: Missing fields: recipient_id, recipient_bank']
2025-03-03T19:37:50.327418,USER-64ab12f7,-1,['Error: Missing fields: recipient_id, recipient_bank']
2025-03-03T19:38:08.148362,USER-64ab12f7,-1,['Error: Missing fields: recipient_id, recipient_bank']
