transaction_id,user_id,bank_timestamp,local_timestamp,location,ip_address,device_id,network_type,type,amount,account_id,balance_before,granted,balance_after,merchant_name,recipient_id,recipient_bank,behavior_type,fraud_label
TXN-9a18fc0825,USER-dbbc8dda,2025-03-14 10:43:53+00:00,2025-03-14T07:43:53-03:00,"Buenos Aires, Argentina",190.3.98.138,Lenovo ThinkPad,Public Wi-Fi (Secured),Withdrawal,98861.15,ACC-79652044,481325.5,True,382464.35,,,,Money Laundering,1
TXN-381b8dc29c,USER-23ccd8ca,2025-03-14 10:43:53+00:00,2025-03-14T11:43:53+01:00,"Rome, Italy",151.13.219.151,iPhone-14,Secure VPN Connection,Withdrawal,19962.14,ACC-20018f1d,919081.8,True,899119.66,,,,Money Laundering,1
TXN-127c4fafaa,USER-d4937db6,2025-03-14 10:43:53+00:00,2025-03-14T11:43:53+01:00,"Rome, Italy",151.13.122.70,iPhone-13,Wi-Fi,Transfer Out,191.15,ACC-eaf93757,1110.43,True,919.28,,ACC-774683nf,Bank of America,Account Takeover,1
TXN-64226b1ca4,USER-983e0ca2,2025-03-14 10:43:53+00:00,2025-03-14T03:43:53-07:00,"Los Angeles, USA",172.58.68.81,iPhone-13,Cellular,Purchase,393.06,ACC-738b599d,4125.73,True,3732.67,7-Eleven,,,Card Skimming,1
TXN-a74f252b35,USER-6aa92066,2025-03-14 10:44:53+00:00,2025-03-14T06:44:53-04:00,"New York, USA",73.56.95.202,MacBook Pro,Cellular,Transfer Out,3231.6,ACC-5f37878f,57683.6,True,54452.0,,ACC-774683nf,Bank of America,Business Owner,0
TXN-d661fd7820,USER-1e412d4f,2025-03-14 10:45:53+00:00,2025-03-14T11:45:53+01:00,"Berlin, Germany",88.99.255.186,Dell Laptop,Wi-Fi,Investment,31900.43,ACC-f845b14c,60074.5,True,60074.5,,,,Investor,0
TXN-ac4cba5647,USER-702994bd,2025-03-14 10:46:53+00:00,2025-03-14T18:46:53+08:00,"Shanghai, China",203.195.111.130,MacBook Pro,Cellular,Withdrawal,299.69,ACC-cc1dee5f,4428.04,True,4128.35,,,,Account Takeover,1
TXN-5c0131354c,USER-1b1169ac,2025-03-14 10:47:53+00:00,2025-03-14T07:47:53-03:00,"Buenos Aires, Argentina",190.3.72.239,Samsung Galaxy S22,Public Wi-Fi (Secured),Transfer Out,68455.93,ACC-55dc2960,933677.86,True,865221.9299999999,,ACC-98765432,UBS,Money Laundering,1
TXN-874eef4ca4,USER-6f73a3cb,2025-03-14 10:47:53+00:00,2025-03-14T07:47:53-03:00,"Buenos Aires, Argentina",190.3.193.94,iPhone-13,Wi-Fi,Purchase,414.34,ACC-3a218538,410.34,False,410.34,Walmart,,,Account Takeover,1
TXN-fcf1f27aa7,USER-b72283b1,2025-03-14 10:47:53+00:00,2025-03-14T11:47:53+01:00,"Rome, Italy",151.13.81.124,iPhone-14,Public Wi-Fi (Secured),Withdrawal,25269.53,ACC-7d12aa70,653817.48,True,628547.95,,,,Money Laundering,1
TXN-ff8b79f156,USER-145429d9,2025-03-14 10:48:53+00:00,2025-03-14T18:48:53+08:00,"Shanghai, China",203.195.193.85,iPhone-13,Wi-Fi,Purchase,166.1,ACC-2ad2ed70,4473.68,True,4307.58,Walmart,,,Card Skimming,1
TXN-f111c37e1e,USER-9f837cfe,2025-03-14 10:49:53+00:00,2025-03-14T03:49:53-07:00,"Los Angeles, USA",172.58.239.195,MacBook Pro,Wi-Fi,Purchase,386.7,ACC-5eb9f562,2863.74,True,2477.04,Amazon,,,Account Takeover,1
TXN-084a76546a,USER-366af7a2,2025-03-14 10:49:53+00:00,2025-03-14T07:49:53-03:00,"São Paulo, Brazil",200.98.238.27,iPhone-13,Wi-Fi,Purchase,101.04,ACC-472a9d3c,2446.23,True,2345.19,Walmart,,,Account Takeover,1
TXN-4d1f891875,USER-925a5ac5,2025-03-14 10:50:53+00:00,2025-03-14T07:50:53-03:00,"São Paulo, Brazil",200.98.244.12,iPhone-13,Cellular,Transfer Out,427.85,ACC-f66a7db2,1196.49,True,768.64,,ACC-774683nf,Bank of America,Account Takeover,1
TXN-b93759e695,USER-c5f0fd0d,2025-03-14 10:51:53+00:00,2025-03-14T07:51:53-03:00,"São Paulo, Brazil",200.98.56.248,Lenovo ThinkPad,Public Wi-Fi (Secured),Withdrawal,42806.02,ACC-fcccd601,924036.64,True,881230.62,,,,Money Laundering,1
TXN-f205149525,USER-3190d3dc,2025-03-14 10:51:53+00:00,2025-03-14T05:51:53-05:00,"Chicago, USA",98.23.40.62,Samsung Galaxy S22,Cellular,Purchase,384.09,ACC-a7936fdd,3743.73,True,3359.64,Walmart,,,Card Skimming,1
TXN-922dbb82fb,USER-79db8738,2025-03-14 10:51:53+00:00,2025-03-14T11:51:53+01:00,"Berlin, Germany",88.99.240.197,Samsung Galaxy S22,Cellular,Withdrawal,472.68,ACC-07448dbc,1733.31,True,1260.63,,,,Card Skimming,1
TXN-526780ceb5,USER-983e0ca2,2025-03-14 11:00:00+00:00,2025-03-14T04:00:00-07:00,"Los Angeles, USA",73.56.201.89,iPhone-13,Wi-Fi,Purchase,250.0,ACC-738b599d,3732.67,True,3482.67,Walmart,,,Card Skimming,1
TXN-71f51b6052,USER-6f73a3cb,2025-03-14 11:00:00+00:00,2025-03-14T08:00:00-03:00,"New York, USA",73.123.45.67,iPhone-13,Wi-Fi,Transfer Out,250.0,ACC-3a218538,410.34,True,160.33999999999995,,ACC-774683nf,Bank of America,Account Takeover,1
TXN-a948f883a8,USER-366af7a2,2025-03-14 11:00:00+00:00,2025-03-14T08:00:00-03:00,"New York, USA",73.123.45.67,iPhone-13,Wi-Fi,Transfer Out,250.0,ACC-472a9d3c,2345.19,True,2095.19,,ACC-774683nf,Bank of America,Account Takeover,1
TXN-f0c679b7ae,USER-9f837cfe,2025-03-14 11:00:00+00:00,2025-03-14T04:00:00-07:00,"New York, USA",73.123.45.67,iPhone-13,Cellular,Transfer Out,450.0,ACC-5eb9f562,2477.04,True,2027.04,,ACC-774683nf,Bank of America,Account Takeover,1
TXN-23caa02a1f,USER-145429d9,2025-03-14 11:15:30+00:00,2025-03-14T19:15:30+08:00,"Shanghai, China",203.195.193.85,iPhone-13,Wi-Fi,Purchase,250.0,ACC-2ad2ed70,4307.58,True,4057.58,Amazon,,,Card Skimming,1
TXN-e9637fbf5d,USER-3190d3dc,2025-03-14 11:15:32+00:00,2025-03-14T06:15:32-05:00,"New York, USA",73.56.201.89,iPhone-13,Wi-Fi,Purchase,450.0,ACC-a7936fdd,3359.64,True,2909.64,Amazon,,,Card Skimming,1
TXN-ee09210511,USER-983e0ca2,2025-03-14 11:30:00+00:00,2025-03-14T04:30:00-07:00,"Los Angeles, USA",73.56.201.89,iPhone-13,Wi-Fi,Purchase,450.0,ACC-738b599d,3482.67,True,3032.67,Amazon,,,Card Skimming,1
TXN-8c0a8489bb,USER-925a5ac5,2025-03-14 11:30:00+00:00,2025-03-14T08:30:00-03:00,"São Paulo, Brazil",200.98.244.13,iPhone-13,Cellular,Withdrawal,250.0,ACC-f66a7db2,768.64,True,518.64,,,,Account Takeover,1
TXN-3536ece0e5,USER-d4937db6,2025-03-14 11:43:53+00:00,2025-03-14T12:43:53+01:00,"Berlin, Germany",81.169.145.23,iPhone-13,Wi-Fi,Purchase,45.99,ACC-eaf93757,919.28,True,873.2900000000001,Amazon,,,Account Takeover,1
TXN-ca53867710,USER-983e0ca2,2025-03-14 12:00:00+00:00,2025-03-14T05:00:00-07:00,"Los Angeles, USA",73.56.201.89,iPhone-13,Wi-Fi,Purchase,400.0,ACC-738b599d,3032.67,True,2632.67,Amazon,,,Card Skimming,1
TXN-eadf10c9b5,USER-366af7a2,2025-03-14 12:15:00+00:00,2025-03-14T09:15:00-03:00,"São Paulo, Brazil",200.98.238.27,iPhone-13,Wi-Fi,Withdrawal,150.0,ACC-472a9d3c,2095.19,True,1945.19,,,,Account Takeover,1
TXN-b07c7ad899,USER-dbbc8dda,2025-03-14 12:15:00+00:00,2025-03-14T09:15:00-03:00,"Zurich, Switzerland",81.2.123.45,iPhone-14,Secure VPN Connection,Transfer Out,50000.0,ACC-79652044,382464.35,True,332464.35,,ACC-12345678,UBS,Money Laundering,1
TXN-aa299a7adf,USER-6f73a3cb,2025-03-14 12:15:00+00:00,2025-03-14T09:15:00-03:00,"São Paulo, Brazil",189.38.95.228,iPhone-13,Wi-Fi,Withdrawal,150.0,ACC-3a218538,160.33999999999995,True,10.339999999999977,,,,Account Takeover,1
TXN-94f3b76b18,USER-925a5ac5,2025-03-14 12:15:00+00:00,2025-03-14T09:15:00-03:00,"São Paulo, Brazil",200.98.244.14,iPhone-13,Cellular,Purchase,150.0,ACC-f66a7db2,518.64,True,368.64,Amazon,,,Account Takeover,1
TXN-3497724491,USER-3190d3dc,2025-03-14 12:30:00+00:00,2025-03-14T07:30:00-05:00,"Los Angeles, USA",73.123.45.67,iPhone-13,Cellular,Purchase,420.0,ACC-a7936fdd,2909.64,True,2489.64,7-Eleven,,,Card Skimming,1
TXN-03dffd2751,USER-b72283b1,2025-03-14 12:30:00+00:00,2025-03-14T13:30:00+01:00,"Zurich, Switzerland",81.23.45.67,iPhone-14,Secure VPN Connection,Transfer Out,50000.0,ACC-7d12aa70,628547.95,True,578547.95,,ACC-12345678,UBS,Money Laundering,1
TXN-3fad62a470,USER-145429d9,2025-03-14 12:30:00+00:00,2025-03-14T20:30:00+08:00,"Shanghai, China",203.195.193.85,iPhone-13,Wi-Fi,Purchase,300.0,ACC-2ad2ed70,4057.58,True,3757.58,7-Eleven,,,Card Skimming,1
TXN-c61c8dbb9c,USER-23ccd8ca,2025-03-14 12:45:00+00:00,2025-03-14T13:45:00+01:00,"Zurich, Switzerland",81.12.34.56,iPhone-14,Secure VPN Connection,Transfer Out,50000.0,ACC-20018f1d,899119.66,True,849119.66,,ACC-12345678,UBS,Money Laundering,1
TXN-66a3991e9d,USER-925a5ac5,2025-03-14 13:00:00+00:00,2025-03-14T10:00:00-03:00,"São Paulo, Brazil",200.98.244.15,iPhone-13,Cellular,Transfer Out,300.0,ACC-f66a7db2,368.64,True,68.63999999999999,,ACC-836gfu98,Wells Fargo,Account Takeover,1
TXN-c00609bf54,USER-6f73a3cb,2025-03-14 13:30:00+00:00,2025-03-14T10:30:00-03:00,"Buenos Aires, Argentina",190.3.193.94,iPhone-13,Wi-Fi,Purchase,10.0,ACC-3a218538,10.339999999999977,True,0.339999999999975,Amazon,,,Account Takeover,1
TXN-858bf19680,USER-3190d3dc,2025-03-14 13:45:00+00:00,2025-03-14T08:45:00-05:00,"San Francisco, USA",73.150.20.10,iPhone-13,Wi-Fi,Purchase,475.0,ACC-a7936fdd,2489.64,True,2014.64,Amazon,,,Card Skimming,1
TXN-80fcd903a4,USER-925a5ac5,2025-03-14 13:45:00+00:00,2025-03-14T10:45:00-03:00,"São Paulo, Brazil",200.98.244.16,iPhone-13,Cellular,Purchase,50.0,ACC-f66a7db2,68.63999999999999,True,18.639999999999983,Walmart,,,Account Takeover,1
TXN-42c683a475,USER-3190d3dc,2025-03-14 14:00:00+00:00,2025-03-14T09:00:00-05:00,"New York, USA",73.123.45.67,iPhone-13,Cellular,Purchase,480.0,ACC-a7936fdd,2014.64,True,1534.64,Amazon,,,Card Skimming,1
TXN-389ca839d1,USER-23ccd8ca,2025-03-14 14:30:00+00:00,2025-03-14T15:30:00+01:00,"Geneva, Switzerland",81.12.34.57,iPhone-14,Secure VPN Connection,Transfer Out,30000.0,ACC-20018f1d,849119.66,True,819119.66,,ACC-98765432,Credit Suisse,Money Laundering,1
TXN-319d4e9cd8,USER-23ccd8ca,2025-03-14 15:45:00+00:00,2025-03-14T16:45:00+01:00,"Paris, France",81.12.34.58,iPhone-14,Secure VPN Connection,Transfer Out,25000.0,ACC-20018f1d,819119.66,True,794119.66,,ACC-12345678,UBS,Money Laundering,1
TXN-842cb49cb8,USER-23ccd8ca,2025-03-14 18:00:00+00:00,2025-03-14T19:00:00+01:00,"Berlin, Germany",81.12.34.59,iPhone-14,Secure VPN Connection,Transfer Out,40000.0,ACC-20018f1d,794119.66,True,754119.66,,ACC-98765432,Credit Suisse,Money Laundering,1
TXN-4b848b9f72,USER-23ccd8ca,2025-03-14 20:00:00+00:00,2025-03-14T21:00:00+01:00,"Madrid, Spain",81.12.34.60,iPhone-14,Secure VPN Connection,Transfer Out,20000.0,ACC-20018f1d,754119.66,True,734119.66,,ACC-12345678,UBS,Money Laundering,1
TXN-ae115abc9c,USER-1e412d4f,2025-03-15 03:33:53+00:00,2025-03-15T04:33:53+01:00,"New York, USA",73.56.206.122,iPhone-13,Ethernet,Withdrawal,3543.53,ACC-a01ce75b,325789.29,True,322245.75999999995,,,,Investor,0
