real_id,virtual_id,timestamp,delta_time,behavior,initial_balance,activity_type,granted,amount,balance,initial_country,location,device,network,agent_type,is_fraud
0,0,2025-02-24 20:24:07,0 days 02:47:08,legitimate,19379.05,Transfer Funds,True,-103.76701,19275.283,China,UK,iPhone,Home WiFi,traveler,0
1,1,2025-02-24 20:04:29,0 days 02:26:39,legitimate,74593.21,Review activityments,True,0.0,74593.21,USA,USA,Windows Laptop,Corporate Network,static,0
2,2,2025-02-24 20:32:08,0 days 02:55:03,legitimate,49068.58,Apply for Loan,True,0.0,49068.58,Japan,Japan,Linux PC,Mobile Network,static,0
3,3,2025-02-24 17:40:08,0 days 00:03:13,legitimate,83428.06,Apply for Credit Card,True,0.0,83428.06,China,China,iPhone,Home WiFi,static,0
4,4,2025-02-24 17:49:59,0 days 00:12:47,legitimate,50670.84,Deposit Funds,True,952.8115,51623.652,Germany,Germany,MacBook,Home WiFi,static,0
5,5,2025-02-24 19:09:51,0 days 01:32:24,legitimate,62219.93,Make Purchase,True,-176.25667,62043.67,USA,USA,Windows Laptop,Corporate Network,static,0
6,6,2025-02-24 20:13:25,0 days 02:36:26,legitimate,58867.58,Pay Bills,True,-86.31616,58781.266,USA,USA,iPhone,Mobile Network,static,0
7,7,2025-02-24 20:18:27,0 days 02:40:36,legitimate,88097.27,Invest Money,True,-72.61199,88024.66,Japan,Germany,Android,Home WiFi,traveler,0
8,8,2025-02-24 18:45:30,0 days 01:08:16,legitimate,67140.97,Open Account,True,0.0,67140.97,France,France,iPhone,Corporate Network,static,0
9,9,2025-02-24 20:20:26,0 days 02:42:50,legitimate,27474.0,Pay Bills,True,-86.18764,27387.812,China,China,MacBook,Public WiFi,static,0
10,10,2025-02-24 18:07:15,0 days 00:30:15,legitimate,3498.15,Make Purchase,True,-52.38478,3445.7651,China,China,iPhone,Public WiFi,static,0
11,11,2025-02-24 19:51:50,0 days 02:14:27,legitimate,72738.09,Open Account,True,0.0,72738.09,UK,UK,Android,Home WiFi,static,0
12,12,2025-02-24 20:21:53,0 days 02:44:08,legitimate,61313.76,Deposit Funds,True,176.65628,61490.418,China,China,Android,Mobile Network,static,0
13,13,2025-02-24 19:39:40,0 days 02:02:04,legitimate,89427.69,Apply for Credit Card,True,0.0,89427.69,Japan,Japan,Windows Laptop,Corporate Network,static,0
14,14,2025-02-24 18:19:36,0 days 00:42:20,legitimate,5522.82,Invest Money,True,-32.10891,5490.711,Japan,Japan,Android,Public WiFi,traveler,0
15,15,2025-02-24 17:53:15,0 days 00:15:35,legitimate,96028.01,Transfer Funds,True,-385.5181,95642.49,France,France,MacBook,Public WiFi,static,0
16,16,2025-02-24 18:40:21,0 days 01:03:07,legitimate,83692.32,Apply for Loan,True,0.0,83692.32,UK,UK,iPhone,Public WiFi,static,0
17,17,2025-02-24 20:17:09,0 days 02:39:30,legitimate,44917.28,Apply for Credit Card,True,0.0,44917.28,USA,USA,iPhone,Home WiFi,traveler,0
18,18,2025-02-24 20:35:15,0 days 02:57:36,legitimate,80291.06,Apply for Loan,True,0.0,80291.06,China,China,Android,Public WiFi,static,0
19,19,2025-02-24 20:16:12,0 days 02:39:04,legitimate,48488.97,Make Purchase,True,-75.12689,48413.844,Japan,Japan,Windows Laptop,Public WiFi,traveler,0
20,20,2025-02-24 18:31:21,0 days 00:54:14,legitimate,70133.65,Review activityments,True,0.0,70133.65,Japan,Japan,Android,Home WiFi,static,0
21,21,2025-02-24 18:46:04,0 days 01:09:03,legitimate,79851.45,Pay Bills,True,-118.17172,79733.28,France,France,Android,Home WiFi,static,0
22,22,2025-02-24 17:45:47,0 days 00:08:21,card_skimming,48949.1,ATM Withdrawal,True,-26245.275,22703.824,Japan,USA,Windows Laptop,Public WiFi,static,1
23,23,2025-02-24 18:51:20,0 days 01:14:08,legitimate,81945.92,Invest Money,True,-437.72122,81508.195,Germany,Germany,Windows Laptop,Public WiFi,static,0
24,24,2025-02-24 18:18:19,0 days 00:41:08,legitimate,18926.76,Make Purchase,True,-96.11021,18830.65,France,France,Linux PC,Corporate Network,static,0
25,25,2025-02-24 20:25:06,0 days 02:47:44,legitimate,37769.59,Review activityments,True,0.0,37769.59,USA,USA,Windows Laptop,Corporate Network,traveler,0
26,26,2025-02-24 18:51:07,0 days 01:13:56,legitimate,57181.21,Invest Money,True,-267.611,56913.598,China,China,MacBook,Public WiFi,static,0
27,27,2025-02-24 19:36:56,0 days 01:59:26,legitimate,63011.77,Apply for Loan,True,0.0,63011.77,China,China,Linux PC,Corporate Network,static,0
28,28,2025-02-24 20:33:09,0 days 02:56:16,legitimate,75360.17,Invest Money,True,-289.00302,75071.164,USA,USA,iPhone,Public WiFi,static,0
29,29,2025-02-24 19:42:35,0 days 02:04:52,legitimate,63639.01,Make Purchase,True,-60.448418,63578.562,USA,USA,MacBook,Public WiFi,traveler,0
30,1,2025-02-24 20:20:52,0 days 00:16:23,identity_theft,74593.21,Unauthorized Transfer,True,-15014.242,59578.97,USA,Singapore,iPhone,Public WiFi,static,1
31,31,2025-02-24 18:54:45,0 days 01:17:30,legitimate,21783.3,Deposit Funds,True,579.448,22362.748,USA,USA,iPad,Public WiFi,static,0
32,32,2025-02-24 17:54:50,0 days 00:17:32,legitimate,14302.22,Review activityments,True,0.0,14302.22,France,France,MacBook,Home WiFi,traveler,0
33,33,2025-02-24 18:07:10,0 days 00:30:08,legitimate,74728.57,Open Account,True,0.0,74728.57,France,France,Android,Public WiFi,traveler,0
34,34,2025-02-24 19:53:17,0 days 02:15:47,legitimate,24163.32,Deposit Funds,True,159.55675,24322.877,USA,USA,iPhone,Corporate Network,static,0
35,35,2025-02-24 19:56:17,0 days 02:18:38,legitimate,43581.65,Apply for Loan,True,0.0,43581.65,France,France,Linux PC,Public WiFi,traveler,0
36,36,2025-02-24 19:36:11,0 days 01:59:09,legitimate,26644.72,Pay Bills,True,-143.98523,26500.734,China,Japan,Android,Home WiFi,traveler,0
37,37,2025-02-24 18:30:18,0 days 00:53:17,legitimate,48579.02,Make Purchase,True,-222.21867,48356.8,UK,Germany,MacBook,Home WiFi,traveler,0
38,38,2025-02-24 19:38:23,0 days 02:00:58,legitimate,50249.07,Pay Bills,True,-152.79881,50096.27,China,China,Android,Home WiFi,static,0
39,39,2025-02-24 18:26:15,0 days 00:48:41,legitimate,95915.42,Review activityments,True,0.0,95915.42,Japan,Japan,iPhone,Public WiFi,static,0
0,0,2025-02-24 20:34:40,0 days 00:10:33,legitimate,19275.283,Make Purchase,True,-76.12354,19199.16,China,Germany,iPhone,Public WiFi,traveler,0
1,1,2025-02-24 21:20:36,0 days 00:59:44,legitimate,59578.97,Invest Money,True,-207.8745,59371.094,USA,USA,Windows Laptop,Home WiFi,static,0
2,2,2025-02-24 23:03:05,0 days 02:30:57,legitimate,49068.58,Pay Bills,True,-104.28573,48964.293,Japan,Japan,Android,Home WiFi,static,0
3,3,2025-02-24 18:55:18,0 days 01:15:10,legitimate,83428.06,Apply for Credit Card,True,0.0,83428.06,China,China,Windows Laptop,Home WiFi,static,0
4,4,2025-02-24 19:51:02,0 days 02:01:03,legitimate,51623.652,Make Purchase,True,-225.60773,51398.043,Germany,Germany,iPhone,Public WiFi,static,0
5,5,2025-02-24 21:11:25,0 days 02:01:34,legitimate,62043.67,Make Purchase,True,-427.42102,61616.254,USA,USA,Android,Public WiFi,static,0
6,6,2025-02-24 22:09:20,0 days 01:55:55,legitimate,58781.266,Pay Bills,True,-237.77417,58543.49,USA,USA,Linux PC,Public WiFi,static,0
7,7,2025-02-24 22:41:08,0 days 02:22:41,legitimate,88024.66,Invest Money,True,-75.12689,87949.53,Japan,Japan,iPhone,Home WiFi,traveler,0
